timestamp,config_hash,video,width,height,fps,frame_area,conf_threshold,frame_stride,min_area_ratio,min_area_threshold,processed_frames,frames_with_detections,total_detections,processing_time,detections_per_second,frames_per_second
2025-09-02T21:43:14.655864,c5c69221,cow_0777.mp4,1280,720,29.933920704845814,921600,0.15,1,0.005,4608.0,453,453,578,13.591788530349731,42.52567634563745,33.32894703213454
2025-09-02T21:43:26.719445,c5c69221,hare_0777.mp4,1280,720,30.0,921600,0.15,1,0.005,4608.0,451,448,452,12.025404691696167,37.587092625008864,37.503935340440265
2025-09-02T21:43:35.890327,c5c69221,humn.mp4,640,480,20.0,307200,0.15,1,0.005,1536.0,300,300,380,9.150868654251099,41.526112367864485,32.78377292199828
2025-09-02T21:43:50.162790,c5c69221,insect_013.mp4,1920,1080,30.0,2073600,0.15,1,0.005,10368.0,450,0,0,14.155666828155518,0.0,31.789389045590795
2025-09-02T21:44:07.588731,c5c69221,insect_015.mp4,1280,720,29.933774834437084,921600,0.15,1,0.005,4608.0,452,0,0,17.36737084388733,0.0,26.025816115919888
2025-09-02T21:44:28.694807,c5c69221,insxeox.mp4,1280,720,29.934087863800634,921600,0.15,1,0.005,4608.0,454,0,0,21.04039478302002,0.0,21.577541898899455
2025-09-02T21:44:44.666997,c5c69221,margay_008.mp4,1440,1080,15.0,1555200,0.15,1,0.005,7776.0,310,61,61,15.900506734848022,3.836355722318622,19.49623399866841
2025-09-02T21:44:52.525927,c5c69221,margay_012.mp4,1440,1080,15.0,1555200,0.15,1,0.005,7776.0,160,30,31,7.8233067989349365,3.962518765622273,20.45170975805044
2025-09-02T21:45:14.191361,c5c69221,no_animal_004.mp4,1280,720,29.933920704845814,921600,0.15,1,0.005,4608.0,453,0,0,21.602433919906616,0.0,20.969859307499654
2025-09-02T21:45:36.676994,c5c69221,no_animal_018.mp4,1280,720,29.933920704845814,921600,0.15,1,0.005,4608.0,453,0,0,22.42762541770935,0.0,20.198304170101803
2025-09-02T21:45:51.168608,c5c69221,skunk_004.mp4,1280,720,29.934087863800634,921600,0.15,1,0.005,4608.0,454,24,25,14.450499534606934,1.7300439988339837,31.417599018825143
2025-09-02T21:46:05.456864,c5c69221,wild_boar_001.mp4,1920,1080,30.0,2073600,0.15,1,0.005,10368.0,450,432,438,14.113469123840332,31.034184165262015,31.8844357862281
2025-09-02T21:46:17.405635,c5c69221,wild_boar_005.mp4,1280,720,29.934087863800634,921600,0.15,1,0.005,4608.0,454,63,63,11.908992052078247,5.290120249010144,38.12245385794611
2025-09-02T21:46:31.048161,805b8fc5,armadillo_001.mp4,1920,1080,30.0,2073600,0.15,1,0.01,20736.0,450,450,450,13.533332347869873,33.251233948365226,33.251233948365226
2025-09-02T21:46:42.508381,805b8fc5,armadillo_002.mp4,1280,720,30.00002202644789,921600,0.15,1,0.01,9216.0,454,73,73,11.418630838394165,6.393060694680116,39.75958295047634
2025-09-02T21:46:53.937833,805b8fc5,armadillo_003.mp4,1280,720,30.00002202644789,921600,0.15,1,0.01,9216.0,454,0,0,11.3899507522583,0.0,39.859698244084576
2025-09-02T21:47:05.362941,805b8fc5,bird_001.mp4,1280,720,29.86784140969163,921600,0.15,1,0.01,9216.0,452,81,81,11.386852025985718,7.113467340679535,39.694904172680864
2025-09-02T21:47:18.857368,805b8fc5,bird_003.mp4,1920,1080,30.0,2073600,0.15,1,0.01,20736.0,450,272,272,13.390602827072144,20.312752421428723,33.60565657956958
2025-09-02T21:47:31.980346,805b8fc5,bird_019.mp4,1920,1080,30.0,2073600,0.15,1,0.01,20736.0,450,31,31,13.020609855651855,2.3808408625763278,34.560593166430564
2025-09-02T21:47:43.925581,805b8fc5,capybara_001.mp4,1280,720,29.933920704845814,921600,0.15,1,0.01,9216.0,453,453,453,11.906201124191284,38.047400281151354,38.047400281151354
2025-09-02T21:47:55.295473,805b8fc5,catescondido.mp4,1280,720,29.933920704845814,921600,0.15,1,0.01,9216.0,453,0,0,11.328926086425781,0.0,39.98613783373347
2025-09-02T21:48:07.179983,805b8fc5,cow_0777.mp4,1280,720,29.933920704845814,921600,0.15,1,0.01,9216.0,453,453,578,11.84596562385559,48.792983058807344,38.24086734539745
2025-09-02T21:48:19.118430,805b8fc5,hare_0777.mp4,1280,720,30.0,921600,0.15,1,0.01,9216.0,451,448,448,11.900410175323486,37.64576123005963,37.89785338115378
2025-09-02T21:48:27.952230,805b8fc5,humn.mp4,640,480,20.0,307200,0.15,1,0.01,3072.0,300,300,380,8.811258316040039,43.12664393327874,34.04735047364111
2025-09-02T21:48:44.249884,805b8fc5,insect_013.mp4,1920,1080,30.0,2073600,0.15,1,0.01,20736.0,450,0,0,16.189019680023193,0.0,27.796618256958922
2025-09-02T21:48:57.288415,805b8fc5,insect_015.mp4,1280,720,29.933774834437084,921600,0.15,1,0.01,9216.0,452,0,0,12.998156309127808,0.0,34.77416252354099
2025-09-02T21:49:10.505477,805b8fc5,insxeox.mp4,1280,720,29.934087863800634,921600,0.15,1,0.01,9216.0,454,0,0,13.177261590957642,0.0,34.45328886174188
2025-09-02T21:49:21.955273,805b8fc5,margay_008.mp4,1440,1080,15.0,1555200,0.15,1,0.01,15552.0,310,61,61,11.406642436981201,5.347761213434145,27.177147150239097
2025-09-02T21:49:27.810869,805b8fc5,margay_012.mp4,1440,1080,15.0,1555200,0.15,1,0.01,15552.0,160,30,30,5.830427646636963,5.1454201678163765,27.44224089502067
